f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
12.0,1.5,40.0,26000.0,1340.506329113924,20.0,600.0,350.0,240.0,113.09733554808211,229.89047331461217,158.0357099784485,387.92618329306066,387.92618329306066,0.9022335049106202,1.546686008418206,0.9367744207521659,Failure
12.0,1.5,40.0,3000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,26.52582384399371,26.413900534641535,52.93972437863525,52.93972437863525,6.61129244818353,11.333644196886052,8.68443000884614,Safe
12.0,1.5,40.0,23000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,203.36464947061845,84.91248250966684,288.2771319802853,288.2771319802853,1.2141094841429245,2.0813305442450134,1.8684430783403634,Risk
12.0,1.5,40.0,2000.0,906.3291139240506,20.0,600.0,350.0,240.0,113.09733554808211,17.683882562662475,106.84945075030133,124.5333333129638,124.5333333129638,2.8104925057904544,4.817987152783636,2.179949876551875,Safe
12.0,1.5,40.0,54000.0,1774.6835443037974,20.0,600.0,350.0,240.0,113.09733554808211,477.4648291918868,209.22196920659562,686.6867983984824,686.6867983984824,0.5096937946321,0.8737607907978856,0.23426826785389926,Failure
12.0,1.5,40.0,1000.0,720.253164556962,20.0,600.0,350.0,240.0,113.09733554808211,8.841941281331238,84.91248250966684,93.75442379099809,93.75442379099809,3.7331571764176568,6.399698016715983,2.784787542370612,Safe
12.0,1.5,40.0,49000.0,2767.0886075949365,20.0,600.0,350.0,240.0,113.09733554808211,433.25512278523064,326.21913315664625,759.4742559418769,759.4742559418769,0.4608451139209186,0.7900201952930034,0.20445750756647305,Failure
12.0,1.5,40.0,15000.0,3821.518987341772,20.0,600.0,350.0,240.0,113.09733554808211,132.62911921996854,450.5286198535751,583.1577390735437,583.1577390735437,0.600180665621348,1.028881141065168,0.41495333275909785,Failure
12.0,1.5,40.0,11000.0,162.0253164556962,20.0,600.0,350.0,240.0,113.09733554808211,97.26135409464361,19.101577787763368,116.36293188240697,116.36293188240697,3.0078307097890256,5.156281216781187,10.527688371399263,Safe
12.0,1.5,40.0,10000.0,1278.4810126582279,20.0,600.0,350.0,240.0,113.09733554808211,88.41941281331238,150.72338723157034,239.14280004488273,239.14280004488273,1.4635606839630875,2.50896117250815,1.3576674372300424,Risk
12.0,1.5,40.0,9000.0,596.2025316455696,20.0,600.0,350.0,240.0,113.09733554808211,79.57747153198113,70.28783701591051,149.86530854789163,149.86530854789163,2.335430416745294,4.00359500013479,2.961664780453043,Safe
12.0,1.5,40.0,11000.0,1464.5569620253164,20.0,600.0,350.0,240.0,113.09733554808211,97.26135409464361,172.66035547220483,269.92170956684845,269.92170956684845,1.29667228530954,2.2228667748163544,1.1646880826290815,Risk
12.0,1.5,40.0,58000.0,1092.4050632911392,20.0,600.0,350.0,240.0,113.09733554808211,512.8325943172117,128.78641899093586,641.6190133081476,641.6190133081476,0.5454950566300651,0.9351343827943974,0.27073477580969585,Failure
12.0,1.5,40.0,10000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,88.41941281331238,11.789255040885205,100.20866785419759,100.20866785419759,3.492711833129576,5.987505999650702,17.3575203986725,Safe
12.0,1.5,40.0,34000.0,224.0506329113924,20.0,600.0,350.0,240.0,113.09733554808211,300.62600356526207,26.413900534641535,327.0399040999036,327.0399040999036,1.0702057932722864,1.834638502752491,4.5335825510628895,Risk
12.0,1.5,40.0,36000.0,1836.7088607594935,20.0,600.0,350.0,240.0,113.09733554808211,318.3098861279245,216.5342919534738,534.8441780813984,534.8441780813984,0.6543962042456389,1.1218220644210952,0.5203612071409006,Failure
12.0,1.5,40.0,61000.0,1278.4810126582279,20.0,600.0,350.0,240.0,113.09733554808211,539.3584181612055,150.72338723157034,690.0818053927758,690.0818053927758,0.5071862455499495,0.8694621352284848,0.1609347638803337,Failure
12.0,1.5,40.0,12000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,106.10329537597484,33.72622328151969,139.82951865749453,139.82951865749453,2.5030480213180497,4.290939465116656,5.857717307825713,Safe
