mat,E,yield,uts,d_o,t,L,rider,F_ax,F_tr,sa,sb,svm,delta,SF,Nf,label
Al6061,69000,150,310,30.974972290385573,1.1148639924606718,572.1786489458202,84.29205610624982,422.72126302792236,328.1555387066598,4.041950153479775,249.133095901065,431.53010993532183,8.359364074042356,0.3476003100281511,952111.1555853623,Failure
Steel,210000,250,400,32.147012704365586,1.543863201515885,508.61801553469036,101.70356339667124,0.3305914030424063,523.5094760366563,0.002227238592633341,245.67217457188963,425.51668837027256,6.276077134089042,0.5875210228710398,1248579.2634349058,Failure
Chromoly,210000,450,650,25.134966569611798,2.0767310052664167,499.58365668055376,77.31978082779356,284.44781807584314,357.785436059312,1.890803578264696,222.8703128810557,386.02733611658977,7.025541475410252,1.1657205536969768,3212373.58170264,Risk
Chromoly,210000,450,650,38.159113502722086,2.8320390789834438,254.00332338318765,64.65044247757186,107.51201299437457,80.27933231359036,0.3420583572114728,7.884009990113267,13.659789328256698,0.042317220388402785,32.94340704575349,1.0721172710060158e+21,Safe
Al6061,69000,150,310,32.57425618463674,1.9110040169177709,647.5999399029477,77.21675808061383,562.5010904465923,148.06506551931872,3.055580160161517,71.90253859477245,124.5763289683614,2.938818479293965,1.2040810741669508,245210039502.01108,Risk
Al6061,69000,150,310,22.65345884687609,1.4642327973992955,663.9434454849261,81.22182035076898,346.42596239647656,262.114765077799,3.554146579507983,358.62693215887873,621.1702354161665,22.15440043942895,0.24147969662375118,25321.623248734086,Failure
Chromoly,210000,450,650,22.76476493563951,1.4010569431610918,537.4549787693281,83.78788059258054,264.32689046236317,198.75134510365723,2.810988406037077,225.67108761292602,390.8838970960836,9.090470853703998,1.1512369871030654,2795236.5285452544,Risk
Chromoly,210000,450,650,32.623721082010476,2.8431160536419178,248.47256321765582,98.25805483226478,104.01763267077443,234.32544869554724,0.39104702703137073,31.915821236158717,55.2812070536875,0.19174270724761827,8.140198522853762,906413181047982.9,Safe
Al6061,69000,150,310,44.08321223603046,2.233422757631833,688.2474003047266,106.00268853702053,464.2679906351038,419.36879967968605,1.5810829465747245,98.68204059524392,170.92962069637917,3.3662277352747108,0.8775541617005266,10849555007.153734,Failure
Steel,210000,250,400,26.352488037756416,1.2270767211829519,676.4998769561641,78.28997930747741,385.04924637794386,715.5044008264987,3.9754061725060508,832.464821006051,1441.8768458131733,45.895399548635524,0.17338512697941816,5.661907384265171,Failure
